NAME,RATING,REVIEW COUNT,PRICE,DISCOUNTED PRICE,PRODUCT ID
Brooks Brothers&reg; Criss-Cross Stripe Turkish Cotton 3-Piece Towel Set,0.0,0,$70.99 Set,$70.99 Set,5759947
Haven&trade; Organic Cotton Terry Bath Towel,3.8,123,$18.00,$18.00,5556010
Avanti Butterfly Garden Hand Towel in White,4.5,4,$15.99,$15.99,1061558205
Avanti Bradford Hand Towel in Java,4.0,27,$15.99,$15.99,1016151203
Kitcheniva 8-Pcs Grey Ultra Super Soft Luxury Pure Turkish Cotton Towel Set,0.0,0,$111.41,$77.99,300589419
Avanti Coastal Terrazzo Hand Towel in White,4.7,19,$12.99,$12.99,5462422
Studio 3B&trade; Geometric Jacquard Hand Towel,0.0,0,$12.00,$12.00,5689729
Classic Turkish Towels Genuine Cotton Soft Absorbent Amadeus Hand Towels 16x27 6 Piece Set,0.0,0,$49.99,$29.99,7044722
Haven&trade; Wave 21&quot; x 34&quot; Organic Cotton Bath Mat,3.7,34,$21.00,$21.00,5540549
"PiccoCasa Hand Towel Set 14"" x 30"", Soft 100% Combed Cotton 600 GSM Luxury Towels Highly Absorbent for Bathroom Kitchen Shower Towel Gray 4 Pieces",0.0,0,$37.99 - $59.99,$28.49 - $44.99,7100853
"SKL Home Holland Floral Hand Towels - Set of 2 - 16x26"", Vanilla",0.0,0,$28.85,$28.85,300057968
"Utopia Towels 4 Pack 600 GSM Cotton Bath Towels Set 27x54 Inches, Wedgewood",0.0,0,$62.99,$57.99,300416097
Kitcheniva 8-Pcs White Ultra Super Soft Luxury Pure Turkish Cotton Towel Set,0.0,0,$111.41,$77.99,300589417
Kitcheniva 4-Pack 100% Cotton Brown Hand Towels Ultra Super Soft Luxury Pure Turkish,0.0,0,$49.99,$34.99,300585851
"Coastal  Three Piece Bath Towel Set, Washcloth, Hand Towel and Bath Towel, Cotton, Four Colors, Buy a 3-Pack or Buy a",0.0,0,$19.75 - $148.19,$19.75 - $148.19,7154826
Popular Bath Modern Line 3-Piece Bath Towel Set,0.0,0,$29.99 Set,$29.99 Set,5189697
Avanti Premier Gold Script Monogram Hand Towel in Ivory,3.9,10,$14.99 - $14.99,$7.99 - $14.99,3167822
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, Gray",0.0,0,$111.41,$77.99,300589424
Avanti Greenwood Hand Towel in Ivory,4.6,54,$15.99,$15.99,1015893540
Haven&trade; Wave Organic Cotton Washcloth,3.7,35,$10.00,$10.00,5540535
Classic Turkish Towels Genuine Cotton Soft Absorbent Brampton Bath Sheets Set of 3,3.0,2,$61.99 - $66.99,$61.99 - $66.99,7055507
"Saturday Knight Ltd Mirage Fringe Reversible Bath Hand Towel Set - 2 Piece - 16x26"", Taupe",4.6,7,$30.43,$30.43,7012553
"Stock Preferred 27.5""x57"" Lattice Pattern Cotton Bath Towel Set in Green",0.0,0,$45.99,$35.99,300531106
"Bedvoyage eco-melange Rayon Made from Bamboo Cotton Towels, Hand Towel 2pk - Charcoal",0.0,0,$26.91,$20.70,300041370
Finest Hand Towel,4.4,113,$24.99,$12.99,1279062
Kitcheniva 2-Pack 100% Cotton Burgundy Bath Towels Ultra Super Soft Luxury Pure Turkish,0.0,0,$74.27,$51.99,300585848
"Saturday Knight Ltd Seabrook Stripe Soft Sculpted Bath Hand Towel Set - 2 Piece - 16x26"", Teal",4.3,6,$26.98,$26.98,300057973
"Saturday Knight Ltd Go Round Soft Terry Design Bath Hand Towel Set - 2 Piece - 16x26"", Natural",5.0,3,$26.98,$26.98,300057325
Kitcheniva 8-Pcs Burgundy Ultra Super Soft Luxury Pure Turkish Cotton Towel Set,0.0,0,$111.41,$77.99,300585836
"Standard Textile Home - Quick-Dry Towels (Vidori), Washcloth Set of 4",4.3,10,$30.00 - $82.50,$30.00 - $82.50,7014694
Kitcheniva 8-Pcs Black Ultra Super Soft Luxury Pure Turkish Cotton Towel Set,0.0,0,$111.41,$77.99,300589425
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, Brown",0.0,0,$111.41,$77.99,300589416
"PiccoCasa Soft Cotton 4 Piece Bath Towel for Bathroom, 100% Cotton Soft and Highly Absorbent Bath Towels Washcloths Quick Dry Shower Towels, 27""X55"" Brown",0.0,0,$86.69,$64.99,7041706
"PiccoCasa Hand Towel Set 27"" x 54"", Soft 100% Combed Cotton 600 GSM Luxury Towels Highly Absorbent for Bathroom Wash Shower Towel Taupe Gray 2 Pieces",0.0,0,$37.49 - $77.99,$37.49 - $77.99,7100851
"PiccoCasa Soft Cotton 4 Piece Bath Towel for Bathroom, 100% Cotton Waffle Weave Soft and Highly Absorbent Bath Towels Washcloths Quick Dry Shower Towels, 27""X55"" Pink",0.0,0,$71.49 - $76.49,$71.49 - $75.49,7041668
"Saturday Knight Ltd Geo Striped Ombre Dash Jacquard Pattern Bath Towel - 27x50"", White",4.4,12,$30.19,$30.19,300058044
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, White",0.0,0,$111.41,$77.99,300591790
"Standard Textile Home - Makeup Washcloth Set of 2, Black",4.5,2,$24.00,$24.00,300065771
Classic Turkish Towels Boston Set Of 6 Bath Towel,0.0,0,$69.99,$49.49,7111381
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, Black",0.0,0,$111.41,$77.99,300589418
Enchante Home&reg; Enchasoft 8-Piece Hand Towel Set,4.9,610,$77.48 Set,$77.48 Set,5686000
Kitcheniva 8-Pcs Brown Ultra Super Soft Luxury Pure Turkish Cotton Towel Set,0.0,0,$111.41,$77.99,300589420
Avanti Braided Medallion Hand Towel,4.3,18,$15.99,$15.99,1045451874
Madison Park&trade; Signature 8-Piece Cotton Towel Set,4.0,242,$69.99 Set,$69.99 Set,5034808
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, Green",0.0,0,$111.41,$77.99,300589414
"Bedvoyage Rayon Made from Bamboo Luxury Towels, 1 Bath, 1 Hand, 1 Washcloth - White",0.0,0,$69.03,$53.10,300041369
Collections Etc Seaside Escape Coastal Scene Towels,0.0,0,$50.99,$35.99,300473436
Cariloha&reg; Turkish Cotton/Viscose Blend Bath Towel,4.7,1109,$28.99 - $40.99,$28.99 - $40.99,5372087
Ninety Six Zero Twist Burgundy 3 Pieces Towel Set with 1 Bath Towel and 2 Hand Towels,0.0,0,$55.99,$55.99,300059755
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, Blue",0.0,0,$111.41,$77.99,300589413
Hearth & Harbor Luxury Set of 2 Bath Mats & 2 Wash Cloth Towels,0.0,0,$55.99,$44.99,300282055
"Kitcheniva 8 Piece Set Bath Towel Hand Towel Washcloth, Red",0.0,0,$111.41,$77.99,300589422
"Stock Preferred 31.4""x62.9"" Cloth Bathroom Face Towel in Gray",0.0,0,$49.99,$39.99,300531105
Classic Turkish Towels Genuine Cotton Soft Absorbent Hospitality Bath Towels 8 Piece Set,0.0,0,$79.99,$53.99,7055501
Enchante Home&reg; Laina Hand Towel (Set of 8),0.0,0,$77.48,$77.48,5260278
"Utopia Towels Extra Large Bath Towel 35x70"" Cotton Luxury Bath Sheet 600 GSM Grey",0.0,0,$40.99,$35.99,300416090
